job_title,company,location,salary,country
systems quality assurance (QA) analyst,Decos Software Development Inc.,"Etobicoke, ON","$88,000 a year",Canada
Business Intelligence Analyst,Merchant North,"Remote in Montréal, QC",,Canada
newBI analyst and data visualization,National Bank of Canada,"Montréal, QC",,Canada
IT Business Analyst,Vermilion Energy,"Calgary, AB",,Canada
"newTechnical Analyst, Water Quality & Compliance",Regional Municipality of Peel,"Temporarily Remote in Brampton, ON",,Canada
Senior Data Analyst,Trufla Technology,"Calgary, AB",,Canada
Manufacturing Automation Analyst,BRP,"Valcourt, QC",,Canada
Data Analyst - Product & Partnerships,Moneris Solutions,"Toronto, ON",,Canada
Institutional Analyst,Lakeland College,"Vermilion, AB","$54,882 - $69,164 a year",Canada
Jira Business Systems Analyst,Geotab,"Remote in Oakville, ON",,Canada
Analyste de données | Data Analyst (Python),METRIO,"Montréal, QC",,Canada
"Technical Operations Analyst, Data Solutions (Toronto)",StackAdapt,Canada,,Canada
Investment Banking Analyst,Raymond James Financial,"Vancouver, BC",,Canada
Business Information Analyst,Illumiti,Canada,,Canada
Business Systems Analyst,Lean Industries,"Remote in Richmond Hill, ON",,Canada
Product Business Analyst-Student Information System,Fujitsu,"Toronto, ON",,Canada
HR Analyst,CARFAX Canada,"London, ON",,Canada
Human Resources Information System Analyst,Dumas Mining,"Toronto, ON",,Canada
ERP Business Analyst [#3907],Alteo,"Montréal, QC","$90,000 - $100,000 a year",Canada
"Business Analyst, Analytics - Operations (Canada)",Just Energy,"Remote in Mississauga, ON",,Canada
New Flyer - Data Analyst,NFI,"Winnipeg, MB",,Canada
Business Analyst-Digital,Alterna Savings,"Toronto, ON",,Canada
"newStudent, Cloud Analyst (Fall 2022, 4-Months)",OMERS,"Toronto, ON",,Canada
"Business Analyst, Merlin",Amazon Dev Centre Canada ULC,"Vancouver, BC+1 location",,Canada
SAP iXp Intern - Data Analyst,SAP,"Montréal, QC",,Canada
newSr. Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Hybrid remote in Toronto, ON",,Canada
Business Analyst,Eriks,"Industrial, SK",,Canada
"analyst, business - computer systems",MK Skills Specialist Ltd,"North York, ON","$82,000 a year",Canada
newBusiness Analyst,Queen's University,"Kingston, ON",,Canada
PeopleSoft Technical Analyst (Business Analyst II),Metro Vancouver,"Burnaby, BC","$7,053 - $8,351 a month",Canada
newSenior Business Systems Analyst,Canadian Museum of History/Musée canadien de...,"Gatineau, QC",,Canada
Corporate Analyst-CDN,GM Financial,"Toronto, ON",,Canada
"Analyst, Data & Analytics - Data Engineering",Air Canada,"Dorval, QC",,Canada
Systems Performance Analyst,Canadian Solar,"Guelph, ON",,Canada
"Production Operations Analyst, Planning",Toyota Motor Manufacturing Canada,"Cambridge, ON",,Canada
CPFR Analyst,Reckitt,"Mississauga, ON",,Canada
newWILDLIFE RESEARCH ANALYST,"Ministry of Northern Development, Mines, Natural...","Thunder Bay, ON","$1,270 - $1,568 a week",Canada
database analyst,VGM Wire & Automation,"Edmonton, AB",$42.05 an hour,Canada
"newBusiness Analyst, Digital HR, Service Now",Bell Canada,"Montréal, QC",,Canada
"Analyst, Operations",Economical Insurance,"Hybrid remote in Toronto, ON",,Canada
"Research Analyst I, Epidemiology",University Health Network,"Toronto, ON","$45,277 - $56,547 a year",Canada
newSupply and Logistics Analyst,Soucy Group,"Drummondville, QC",,Canada
Business Analyst Master Data Management - MDM,Ubisoft,"Montréal, QC",,Canada
Technical Business Analyst,Royal College of Physicians and Surgeons,"Temporarily Remote in Ottawa, ON","$68,458 - $86,429 a year",Canada
"analyst, business - computer systems",Kajata Inc.,"Calgary, AB",$48.72 an hour,Canada
database analyst,Supreme Wire Products Ltd.,"Brampton, ON",$40 an hour,Canada
business systems analyst,Cilver Solutions Inc.,"Surrey, BC",$39 an hour,Canada
Product Analyst,Canadian Tire Corporation,Ontario,,Canada
Senior Reporting Analyst - BI,Manulife,"Toronto, ON",,Canada
SharePoint Developer (Systems Analyst),LCBO,"Toronto, ON",,Canada
Senior Data Analyst,EMERGE Commerce Ltd.,"Hybrid remote in Toronto, ON",,Canada
Data Standards Analyst,McDonald's Corporate,"Toronto, ON",,Canada
Data Analyst- Revenue Operations,Assent,"Ottawa, ON",,Canada
BI Data Analyst,West Fraser,"Vancouver, BC",,Canada
Data Analyst,McCain Foods,"Florenceville, NB",,Canada
Analyst – Investment Banking,Haywood Securities,"Toronto, ON",,Canada
HR Systems Analyst,Open Text Corporation,"Remote in Waterloo, ON",,Canada
newISL 21R - Business Analyst,BC Public Service,"Victoria, BC",,Canada
newSr Business Info Mgmt Analyst,TD Bank,"Toronto, ON+1 location",,Canada
newBusiness Analyst,Canadian Pacific,"Calgary, AB",,Canada
Pricing Analyst,STEMCELL Technologies,"Burnaby, BC",,Canada
newbusiness systems analyst,VRIZE CANADA INC.,"Toronto, ON",$42 an hour,Canada
newBusiness Analyst (2),Vantix Systems Inc,"Hybrid remote in Vancouver, BC+2 locations",,Canada
Business Intelligence Analyst,Bounteous,Canada,,Canada
Inventory Analyst,Anheuser-Busch,"London, ON",,Canada
"Analyst, Harm Reduction",Fraser Health,"Surrey, BC",,Canada
Senior Data Analyst,Sheertex,"Montréal, QC",,Canada
Category Analyst,Lucros Partners,Canada,,Canada
Business Decisions Analyst,NorthwesTel,"Whitehorse, YT",,Canada
newBusiness Systems Analyst,Northbridge Financial Corporation,"Toronto, ON",,Canada
Business Analyst,mdf commerce,"Longueuil, QC",,Canada
Business Analyst,GroupHEALTH Benefit Solutions,"Surrey, BC",,Canada
Business and System Analyst,BRP,"Sherbrooke, QC",,Canada
BI Developer,Trading Central,"Ottawa, ON",,Canada
"Sr Data Analyst, Sports",Rogers Communications,"Temporarily Remote in Toronto, ON",,Canada
Sr. Business Data Analyst,Canadian Tire Financial Services,"Oakville, ON",,Canada
"Senior Analyst, People Analytics",Pernod Ricard,"Windsor, ON",,Canada
Customer Experience Analyst,NRG,"Edmonton, AB",,Canada
"newAnalyst, Enterprise Risk Management",Bank of Canada,"Temporarily Remote in Ottawa, ON",,Canada
Data warehouse analyst-programmer,CGI,"Lac-Saint-Jean, QC",,Canada
Sr. IT Data Analyst,TD Bank,"Toronto, ON+1 location",,Canada
newResearch and Business Intelligence Officer,The Royal Ottawa Mental Health Centre,"Ottawa, ON",$30.77 - $34.62 an hour,Canada
Business Intelligence Data Analyst,Aurora Cannabis,Remote in British Columbia,,Canada
Process Automation/Data Analyst,Sanofi US,"Toronto, ON",,Canada
Technical Business Analyst,Habanero,"Remote in Toronto, ON+2 locations",,Canada
Associate Logistics Analyst,SSENSE,"Montréal, QC",,Canada
Senior Business Data Analyst,Zscaler,"Remote in Vancouver, BC",,Canada
Corporate Banking Analyst,Citi,"Toronto, ON",,Canada
Senior Data Analyst,Relation1,"Quebec City, QC",,Canada
Senior Business Intelligence Analyst,Kognitiv Corporation,"Toronto, ON",,Canada
Research Analyst/Officer,York University,"Toronto, ON","$77,729 a year",Canada
Service Desk Analyst,The North West Company,"Remote in Winnipeg, MB",,Canada
Senior Analyst (Renal Clinical Programs),Ontario Health,"Toronto, ON",,Canada
Pricing Analyst,Toppan Merrill,"Toronto, ON",,Canada
"analyst, methods and cost",The Orb Factory Limited,"Halifax, NS",$30 - $34 an hour,Canada
Regulatory Analyst,Neo Financial,"Calgary, AB",,Canada
"Sr. Analyst, Marketing Analytics",Electronic Arts,"Vancouver, BC",,Canada
newData Industrialization Analyst,Thales,"Burlington, ON",,Canada
"Credit Analyst Trainee, Business Banking - Hamilton",BMO Financial Group,"Hamilton, ON+1 location",,Canada
Analyst,St. Joseph's Healthcare Hamilton,"Hamilton, ON",,Canada
Regional Product Analyst,Groupe Dynamite Inc.,"Mont-royal, QC",,Canada
"Analyst II, QC Data Services",Emergent Biosolutions,"Winnipeg, MB",,Canada
"Analyst, People Analytics",West Park Healthcare Centre,"Toronto, ON",,Canada
Circulation Business Analyst,Torstar,"Toronto, ON",,Canada
Analyst Renal Clinical Programs,Ontario Health,"Toronto, ON",,Canada
Underwriting Analyst - Property Operations,AIG,"Toronto, ON",,Canada
newTechnical Key Account Analyst (TEKAUS-7053),Bolloré Group,Canada,,Canada
Senior Data Analyst,OSF Commerce,Canada,,Canada
"Business Analyst, Human Resources (Hybrid Work)",Irving Business Services,"Remote in Saint John, NB",,Canada
Business Intelligence Analyst,Altus Group,"Hybrid remote in Toronto, ON",,Canada
"Analyst, Business Insights",The Cadillac Fairview Corporation Limited,"Toronto, ON",,Canada
Project Analyst II,TD Bank,"Toronto, ON",,Canada
"newManager, Business Intelligence",Royal Bank of Canada,"Toronto, ON",,Canada
newEnterprise Business Systems Analyst (1-Year Contract),Town of Milton,"Milton, ON","$75,883 - $94,854 a year",Canada
"newSenior Business Analyst, Transaction Data Master",TD Bank,"Toronto, ON",,Canada
"analyst, business - computer systems",NU Ventures Solutions Ltd.,"Edmonton, AB",$47.62 an hour,Canada
Financial Data Analyst [#3908],Alteo,"Montréal, QC",,Canada
Senior Campaign Delivery Analyst,TD Bank,"Toronto, ON",,Canada
newEPMO Business Analyst - Secondment Opportunity,Northbridge Financial Corporation,"Toronto, ON",,Canada
Data Analyst / Data Engineer,CGI Inc,"Toronto, ON",,Canada
SOC L2 Analyst,CMACGM,"Montréal, QC",,Canada
business systems analyst,Infoblox Canada Ltd.,"Burnaby, BC",$36.06 an hour,Canada
"Analyst, Paid Social and Search, Retail Media",Canadian Tire Corporation,"Toronto, ON",,Canada
Senior Market Analyst,Genevant Sciences,Remote,,Canada
Business Analyst,OGGN Inc.,"Ottawa, ON",,Canada
database analyst,Novaeast WarehouseDistribution Inc.,"Mississauga, ON",$41 an hour,Canada
Analyst/Sr. Analyst Insights,PC Financial,"Toronto, ON",,Canada
Pricing Analyst,Canadian Tire Corporation,"Toronto, ON",,Canada
IT Business Reporting Analyst,Champion Petfoods,"Edmonton, AB",,Canada
Functional Analyst,CGI Inc,Remote,,Canada
Manufacturing Functionnal Analyst,BRP,"Valcourt, QC",,Canada
business systems analyst,Robotiqa Technologies,"Vancouver, BC",$39.25 an hour,Canada
"Senior Analyst, Credit Risk Management",Manulife,"Toronto, ON",,Canada
"newAnalyst, Payroll & Data Services",Apotex,"North York, ON",,Canada
Senior Data Analyst,Ritchie Bros.,"Remote in Surrey, BC",,Canada
"newAnalyst, Commercial Real Estate",Altus Group,"Calgary, AB",,Canada
"Supply Chain Analyst, Parts Management",Toyota Motor Manufacturing Canada,"Cambridge, ON",,Canada
"Business Analyst, Technology",ENTERTAINMENT ONE TV INTERNATIONAL LTD,"Toronto, ON",,Canada
newCustomer Supply Chain Analyst,coty,"Toronto, ON",,Canada
newSenior Data Analyst,Hitachi,"Toronto, ON",,Canada
"Data Analyst, Valuation Solutions",FCT,"Hybrid remote in Oakville, ON",,Canada
newFuel Management Analyst,EnGlobe Corp.,"Toronto, ON",,Canada
"newSenior Analyst, Customer Market Logistics (Supply Chain)",Procter & Gamble,"Hybrid remote in Toronto, ON",,Canada
Anti-Money Laundering (AML) Risk Analyst,iGaming Ontario,"Toronto, ON","$70,680 a year",Canada
Operations Analyst,Orion Health,"Toronto, ON",,Canada
Energy and Sustainability Data Analyst,BGIS,"Montréal, QC",,Canada
Senior Operations Analyst,Royal Bank of Canada,"Toronto, ON",,Canada
Category Business Analyst,Canadian Tire Corporation,"Calgary, AB",,Canada
Business Analyst,PartSelect,"Burnside, NS",,Canada
newSupply Chain Analyst,Bonduelle,"Brossard, QC",,Canada
Business Systems Analyst,SYNNEX Corporation,"Toronto, ON",,Canada
"HR Analyst, Reporting and Analytics",WSP,"Thornhill, ON",,Canada
Data Analyst,Cogeco Communications Inc.,"Montréal, QC",,Canada
Inventory Analyst,Rogers Communications,"Temporarily Remote in Toronto, ON",,Canada
"newSenior Business Analyst, IT - PSA",Rockwell Automation,"Cambridge, ON",,Canada
"Research Analyst, Business Intelligence",College of New Caledonia,"Prince George, BC","$62,319 a year",Canada
Business Operations Analyst,MHI RJ Aviation ULC,"Downsview, ON",,Canada
Business Analyst and Project Support,BC Cancer Agency,"Temporarily Remote in Vancouver, BC",,Canada
newBusiness Analyst 2-Ops,Oracle,Canada,,Canada
Enterprise Analyst II,Purolator,"Mississauga, ON",,Canada
Business Intelligence Engineer,Perpetua,"Remote in Toronto, ON",,Canada
"Associate BI Business Analyst, Business Technology- Canada,...","Guidewire Software, Inc.","Remote in Mississauga, ON",,Canada
newPower BI,Infosys,"Toronto, ON",,Canada
Business Systems Analyst (ON),Echelon Insurance,"Mississauga, ON",,Canada
newTechnical Business Analyst (II)-Human Resources,Fleming College,"Remote in Peterborough, ON",$38.76 an hour,Canada
Business Intelligence Specialist,Ontario's LHINs,"Toronto, ON",,Canada
"Analyst, Total Rewards - Compensation",High Liner Foods,"Remote in Mississauga, ON+1 location",,Canada
Data Analyst - Threat Lab,Integral Ad Science,"Toronto, ON",,Canada
Business Analyst – AML Monitoring,BNP Paribas,Remote in Canada,,Canada
Technical Business Analyst,Sionic,"Toronto, ON",,Canada
Senior Support Analyst,BMO Financial Group,"Halifax, NS",,Canada
Business Analyst,iA Financial Group / iA Groupe financier,"Quebec City, QC",,Canada
computer systems business analyst,Yamin Data Compliance Inc.,"Toronto, ON","$82,000 a year",Canada
Business Transformation Analyst,Seaspan Ship Management Ltd.,"Vancouver, BC",,Canada
Analyst II - Functional,Royal Building Products,"Woodbridge, ON",,Canada
iQmetrix - BI Administrator,iQmetrix,"Remote in Vancouver, BC+2 locations",,Canada
TFMS Planning & Reporting Analyst,BGIS,"Vancouver, BC+7 locations",,Canada
Business Analyst,Emera Inc.,"Halifax, NS",,Canada
Lead Business Analyst,Royal Bank of Canada,"Toronto, ON",,Canada
Channels Analyst,BMO Financial Group,"Toronto, ON",,Canada
"Analyst, Digital Innovation",PSP Investments,"Montréal, QC",,Canada
newBusiness Analyst - LFUS,BNP Paribas,"Montréal, QC",,Canada
AltaGas - EAM Data Analyst,AltaGas,"Calgary, AB",,Canada
Business Analyst,Net Solutions India,"Toronto, ON",,Canada
"newSenior Analyst, Audience Segmentation",Loblaw Digital,"Toronto, ON",,Canada
"Senior Analyst, Data Architecture",Laurentian Bank,"Toronto, ON",,Canada
Business Systems Analyst III,TD Bank,"Mississauga, ON+1 location",,Canada
newHRIS Analyst,Livingston International,Ontario,,Canada
"Senior Associate, Data Analyst",Capital One,"Hybrid remote in Toronto, ON",,Canada
newSr. Digital Analytics Analyst,Air Miles,"Temporarily Remote in Toronto, ON",,Canada
data warehouse analyst,1st Call Industrial Ltd.,"Mississauga, ON",$40.75 an hour,Canada
The Bay | Parcel Logistics Intelligence Analyst,Hudson's Bay,"Etobicoke, ON",,Canada
Research Data Analyst/Statistician Cntre for Gbl Hth,St Michael's hospital,"Toronto, ON",,Canada
IT Analyst II - Data Integration Developer,Alberta Health Services,"Calgary, AB",,Canada
BUSINESS SYSTEMS ANALYST (III),McMaster University,"Hamilton, ON",,Canada
newDatabase Analyst (M22),Trail Appliances,"Richmond, BC",,Canada
"Business Analyst, System Optimization",Fraser Health,"Surrey, BC",,Canada
newdata analyst - informatics and systems,Sryas Inc.,"Remote in Toronto, ON","$85,000 - $95,000 a year",Canada
Business Analyst,Sanofi US,"Toronto, ON",,Canada
Field Operations Analyst,Hexagon Geosystems,"Vancouver, BC",,Canada
Sr. Business System Analyst,Royal Bank of Canada,"Toronto, ON",,Canada
"newAnalyst, Digitization & Optimization Intern / Co-Op",TD Bank,"Remote in Toronto, ON",,Canada
"Business Analyst, Project Delivery",NRG,"Remote in Calgary, AB",,Canada
iGaming Analyst,Casino Niagara,"Niagara Falls, ON",,Canada
newBusiness & Customer Insights Analyst,Loblaw Companies Limited,"Brampton, ON",,Canada
Business Analyst/Product Consultant,Luxoft,"Toronto, ON",,Canada
Applications Production Support Intermediate Analyst,Citi,"Mississauga, ON",,Canada
Business Intelligence Engineer,Temple Insurance Company,"Toronto, ON",,Canada
Business Analyst - Intermediate to Senior,CGI Inc,"Regina, SK+1 location",,Canada
Security Data Analyst,Paladin Security Group Ltd.,"Edmonton, AB",,Canada
IT Data & Reporting Analyst,Saputo Inc.,"Montréal, QC",,Canada
Tax Analyst (New or Recent Graduate) - May 2022 Start,BMO Financial Group,"Toronto, ON",,Canada
"newArchitect, Business Intelligence",Gildan,"Montréal, QC",,Canada
"Analyst, Master Data Management",Resolute Forest Products,"Montréal, QC",,Canada
"newBusiness Analyst - Billing & Payments (D2C, Healthcare)",Ruby Labs™,"Remote in Montréal, QC",,Canada
Business Analyst – Liquidity,CGI Inc,"Toronto, ON",,Canada
"Analyst, Service Enablement",Safe Software,"Temporarily Remote in Surrey, BC","$53,000 - $58,000 a year",Canada
BUSINESS ANALYST – STUDENT INFORMATION SYSTEM,Universite Concordia,"Montréal, QC","$74,676 - $89,201 a year",Canada
System Analyst StarLIMS,Aurora Cannabis,"Vancouver, BC",,Canada
Manager - Business Intelligence,Canadian Red Cross,Remote,,Canada
newSenior Business Analyst - Telecom,Mariner Innovations,"Saint John, NB+6 locations",,Canada
Business Systems Analyst III (BluePrism / RPA),TD Bank,"Toronto, ON",,Canada
Senior Cyber Defense Fusion Analyst,Equitable Bank,"Toronto, ON",,Canada
newBusiness Systems Analyst,Pacific Blue Cross,"Burnaby, BC",,Canada
Senior Business Insights Analyst,Docebo,Remote,,Canada
newBusiness Intelligence Developer,CAPREIT,"Toronto, ON",,Canada
"newBilingual Electronic Communications Analyst, Internal Contro...",Scotiabank,"Toronto, ON",,Canada
Data Management Analyst II,Invesco,"Toronto, ON",,Canada
newBusiness Systems Analyst,Odlum Brown,"Vancouver, BC",,Canada
"Product Analyst TORONTO, ONPRODUCT – PRODUCT",Tonal,"Toronto, ON",,Canada
Payments Business Analyst,CGI Inc,"Toronto, ON",,Canada
"Senior Analyst, Business Intelligence",Bell Canada,"Toronto, ON",,Canada
